,QoQ% (avg),2Q26F,3Q26F,4Q26F,1Q27F,2Q27F,3Q27F,4Q27F,1Q28F,2Q28F,3Q28F,4Q28F,2026F,2027F,2028F
0,US,2.5,2.3,1.8,2.0,2.1,2.2,2.1,2.1,2.1,2.1,2.1,2.3,2.1,2.1
1,Japan,1.2,0.4,1.2,0.8,1.2,1.2,0.8,0.8,1.2,0.8,0.8,0.7,1.0,0.9
2,Germany,0.4,0.7,1.3,1.6,1.6,1.6,1.9,1.9,1.9,1.9,1.9,0.6,1.4,1.8
3,France,0.0,0.6,0.6,0.8,1.0,1.2,1.2,1.2,1.6,0.8,1.2,0.5,0.8,1.2
4,UK,1.0,0.4,0.9,0.5,1.8,1.4,1.7,1.6,1.7,1.5,1.5,1.0,1.0,1.6
5,Italy,0.4,0.7,0.7,0.8,1.1,1.0,1.0,0.6,0.5,0.6,0.7,0.8,0.8,0.7
6,Canada,2.3,1.4,1.6,2.2,2.0,2.1,2.0,2.0,1.9,1.9,1.9,0.7,1.9,1.9
7,Australia,2.0,1.6,1.5,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,1.9,2.1,2.0
9,Eurozone,0.4,0.8,1.2,1.4,1.5,1.5,1.4,1.3,1.2,1.1,1.1,0.5,1.3,1.2
10,Austria,0.4,1.2,1.4,1.4,1.5,1.6,1.5,1.2,1.2,1.2,1.2,0.9,1.4,1.3
11,Spain,1.0,1.7,1.3,1.8,2.1,2.0,2.0,0.0,0.0,0.0,0.0,2.2,1.7,-
12,Netherlands,1.0,1.0,1.2,1.4,1.7,1.5,1.5,1.5,1.4,1.4,1.4,1.2,1.3,1.5
13,Belgium,0.0,1.2,1.4,1.2,1.2,1.2,1.2,1.2,1.3,1.2,1.3,0.7,1.2,1.2
14,Greece,0.8,1.5,1.5,1.3,2.9,1.6,1.7,0.3,3.1,2.4,2.0,1.7,1.7,1.8
15,Portugal,1.3,1.3,1.6,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.8,-
16,Switzerland,0.4,0.6,1.2,1.2,1.6,1.6,1.2,1.6,2.0,1.2,1.2,0.9,1.2,1.5
18,YoY% (avg),2Q26F,3Q26F,4Q26F,1Q27F,2Q27F,3Q27F,4Q27F,1Q28F,2Q28F,3Q28F,4Q28F,2026F,2027F,2028F
20,Bulgaria,2.7,2.6,2.3,2.3,2.5,2.5,2.7,0.0,0.0,0.0,0.0,2.6,2.5,-
21,Croatia,2.2,2.1,1.2,1.8,1.9,2.0,2.0,0.0,0.0,0.0,0.0,1.9,1.9,-
22,Czech Republic,2.2,1.9,1.8,2.3,2.4,2.5,2.5,2.5,2.5,2.5,2.5,2.0,2.4,2.5
23,Hungary,1.2,1.3,1.7,1.4,2.8,2.9,3.5,3.5,2.6,3.0,2.5,1.5,2.6,2.9
24,Poland,3.8,3.4,2.9,3.6,3.5,3.0,2.9,2.9,3.1,2.9,3.1,3.4,3.2,3.0
25,Romania,-1.9,-1.0,1.5,1.9,2.5,2.4,2.1,2.1,2.3,2.3,2.7,-0.5,2.3,2.4
26,Turkey,2.7,3.1,3.6,3.7,3.9,4.0,4.3,4.5,4.1,3.8,3.6,3.0,4.0,4.0
27,Serbia,3.0,3.1,2.6,2.8,3.2,3.3,3.6,0.0,0.0,0.0,0.0,3.0,3.2,-
29,Azerbaijan,2.0,3.0,3.3,3.0,3.5,2.0,3.5,3.0,2.5,1.5,2.0,2.0,3.0,2.3
30,Kazakhstan,5.0,5.5,6.5,5.5,5.0,4.5,4.0,4.0,4.0,4.5,5.5,5.0,4.8,4.5
31,Russia,0.5,1.0,0.8,1.5,1.0,0.0,0.5,0.5,1.0,2.0,1.5,0.5,0.8,1.3
32,Uzbekistan,7.3,7.0,7.0,6.5,6.3,6.7,6.5,6.3,6.1,5.9,5.7,7.5,6.5,6.0
33,Ukraine,1.6,1.5,1.8,4.2,2.4,2.5,2.8,2.5,3.6,3.7,3.9,1.0,3.1,3.4
35,China,4.6,4.7,4.5,4.0,4.8,4.4,4.3,4.4,4.0,4.2,4.3,4.7,4.4,4.2
36,India,6.5,6.2,6.4,6.5,6.5,6.5,6.5,6.8,6.8,6.8,6.8,6.7,6.5,6.8
37,Indonesia,4.9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.1,5.0,5.0
38,Korea,4.2,3.6,4.4,2.9,2.5,2.1,2.0,2.1,2.0,2.1,2.0,4.0,2.4,2.0
39,Philippines,3.5,5.5,6.0,5.5,5.5,5.5,5.5,6.0,6.0,6.0,6.0,4.5,5.5,6.0
40,Singapore,4.0,2.8,1.8,2.7,2.7,2.7,2.7,2.5,2.5,2.5,2.5,3.7,2.7,2.5
41,Taiwan,12.1,10.6,5.6,4.7,5.2,6.4,7.6,6.1,6.1,4.9,4.1,10.5,6.0,5.2
