,YoY% (avg),2Q26F,3Q26F,4Q26F,1Q27F,2Q27F,3Q27F,4Q27F,1Q28F,2Q28F,3Q28F,4Q28F,2026F,2027F,2028F
0,US,3.9,3.6,3.6,3.2,2.1,2.2,2.2,2.1,2.1,2.0,2.0,3.4,2.4,2.0
1,Japan,1.6,1.8,1.9,2.4,2.6,2.3,2.0,2.2,2.0,2.1,2.0,1.7,2.3,2.1
2,Germany,2.7,3.0,3.1,2.6,2.1,1.9,2.0,1.9,1.9,1.9,1.9,2.7,2.0,1.9
3,France,2.6,2.2,2.2,2.2,1.9,1.6,1.5,1.4,1.4,1.6,1.7,2.0,1.8,1.5
4,UK,2.8,3.1,2.9,2.9,2.3,2.0,2.3,2.0,2.1,2.2,2.1,3.0,2.4,2.1
5,Italy,3.0,3.2,3.1,2.7,1.7,1.9,2.1,2.1,2.1,1.9,1.9,2.7,2.1,2.0
6,Canada,3.0,2.6,2.7,2.4,2.2,2.1,1.9,2.1,2.2,2.0,2.3,2.6,2.1,2.2
7,Australia,5.0,4.6,4.6,3.5,3.5,3.2,3.2,3.0,3.0,3.0,3.0,4.6,3.4,3.0
9,Eurozone,3.2,2.8,2.8,2.7,2.2,2.1,2.1,2.1,2.0,2.0,1.9,2.7,2.2,2.0
10,Austria,3.4,3.0,2.7,2.7,2.5,2.2,2.1,2.1,2.1,2.1,2.1,2.9,2.4,2.1
11,Spain,3.6,3.8,4.0,3.5,2.4,2.2,2.2,0.0,0.0,0.0,0.0,3.5,2.6,-
12,Netherlands,2.8,2.9,2.9,3.0,2.3,2.3,2.1,2.4,2.4,2.3,2.2,2.7,2.4,2.3
13,Belgium,3.8,3.6,3.6,3.3,2.5,2.0,1.8,1.6,1.7,1.8,1.9,3.1,2.4,1.8
14,Greece,4.7,4.8,4.4,3.9,2.5,2.3,2.2,2.2,2.2,2.3,2.2,4.2,2.7,2.2
15,Portugal,2.9,2.9,3.3,2.7,2.1,2.0,2.0,0.0,0.0,0.0,0.0,2.8,2.2,-
16,Switzerland,0.6,0.7,0.8,0.8,0.6,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.7,0.8
18,Bulgaria,6.4,4.6,4.8,4.5,2.1,2.5,2.6,0.0,0.0,0.0,0.0,4.9,2.9,-
19,Croatia,5.3,4.2,4.2,3.2,2.5,2.9,3.2,0.0,0.0,0.0,0.0,4.4,2.9,-
20,Czech Republic,2.1,1.4,2.0,2.6,2.3,2.7,2.6,2.2,2.2,2.2,2.2,1.8,2.5,2.2
21,Hungary,1.9,1.9,2.9,3.2,3.5,3.4,3.0,2.9,3.0,3.0,3.0,2.1,3.3,3.0
22,Poland,2.9,2.5,2.8,2.7,2.5,2.4,2.2,2.2,2.1,2.1,2.0,2.7,2.5,2.2
23,Romania,10.6,6.6,6.0,5.4,4.4,3.9,3.6,3.4,3.4,3.4,3.5,8.2,4.3,3.4
24,Turkey,32.2,29.4,28.5,25.4,22.3,21.2,21.0,20.4,20.1,19.8,19.6,30.6,22.6,20.0
25,Serbia,3.2,2.9,3.7,4.0,3.7,4.0,4.4,0.0,0.0,0.0,0.0,3.1,4.0,-
27,Azerbaijan,5.7,5.8,5.9,5.7,5.7,5.4,5.4,5.4,5.4,5.4,5.4,5.8,5.6,5.3
28,Kazakhstan,10.4,9.9,10.3,10.4,10.5,9.9,9.3,8.8,8.5,8.2,8.0,10.6,10.0,8.4
29,Russia,5.6,5.7,6.1,5.1,4.9,5.0,4.7,4.3,4.3,4.3,4.3,5.8,5.0,4.3
30,Uzbekistan,6.3,6.5,6.7,6.8,7.0,6.5,6.9,6.6,6.5,6.6,6.5,6.7,6.8,6.5
31,Ukraine,7.5,8.5,9.0,8.0,7.3,6.1,6.1,5.1,5.3,4.8,4.5,8.2,6.9,4.9
33,China,1.3,1.6,1.4,1.5,1.4,1.3,1.1,1.1,1.1,1.5,2.2,1.2,1.3,1.5
34,India,4.0,4.8,5.5,4.5,4.8,4.8,5.0,4.5,4.5,4.5,4.5,4.4,5.0,4.5
35,Indonesia,2.7,2.7,2.7,2.5,2.5,3.0,3.0,2.5,2.5,2.5,2.5,3.0,2.5,2.5
36,Korea,3.1,3.4,3.3,3.1,2.3,2.0,1.7,1.7,1.7,1.9,2.1,3.0,2.3,1.8
37,Philippines,7.4,7.2,6.5,3.5,3.5,3.5,3.5,3.0,3.0,3.0,3.0,6.0,3.5,3.0
38,Singapore,2.2,2.4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.1,2.0,2.0
39,Taiwan,2.2,2.6,2.5,2.2,1.7,1.3,1.5,1.6,1.7,1.9,1.8,2.1,1.6,1.8
