,"G10 (%, eop)",3Q26F,4Q26F,1Q27F,2Q27F,3Q27F,4Q27F,2028F
,"EMEA (%, eop)",Unnamed: 1_level_1,Unnamed: 2_level_1,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,Unnamed: 6_level_1,Unnamed: 7_level_1
,"Asia (%, eop)",Unnamed: 1_level_2,Unnamed: 2_level_2,Unnamed: 3_level_2,Unnamed: 4_level_2,Unnamed: 5_level_2,Unnamed: 6_level_2,Unnamed: 7_level_2
0,US (upper bound),3.75,4.0,4.0,4.0,4.0,3.75,3.25
1,Eurozone (deposit rate),2.5,2.5,2.5,2.5,2.5,2.5,2.5
2,Japan (upper bound),1.25,1.25,1.5,1.75,1.75,1.75,1.75
3,UK,3.75,3.75,3.75,3.5,3.5,3.25,3.25
4,Switzerland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Sweden,1.75,1.75,2.0,2.25,2.25,2.25,2.25
6,Norway,4.5,4.5,4.5,4.5,4.25,4.0,4.0
7,Canada,2.25,2.25,2.25,2.5,2.5,2.75,3.0
8,Australia,4.6,4.6,4.6,4.6,4.3,4.1,3.6
9,Czech Republic,3.75,3.75,3.75,3.75,3.75,3.75,3.75
10,Hungary,5.25,4.75,4.5,4.25,4.25,4.25,4.0
11,Poland,3.75,3.75,3.75,3.25,3.25,3.25,3.25
12,Romania,6.5,6.5,6.0,5.5,5.5,5.5,4.5
13,Turkey,37.0,35.0,32.0,30.0,28.0,26.0,23.0
14,Serbia,5.5,5.5,5.25,5.0,5.0,5.0,5.0
16,Azerbaijan,6.5,6.5,6.5,6.5,6.5,6.5,6.0
17,Kazakhstan,16.5,16.5,16.0,15.5,15.0,14.5,12.5
18,Russia,14.0,14.0,13.0,12.5,12.0,11.5,9.0
19,Uzbekistan,14.0,13.5,13.5,12.5,12.0,12.0,11.0
20,Ukraine,15.5,15.5,15.5,15.5,15.0,15.0,14.0
21,China (7 day reverse repo rate),1.3,1.3,1.3,1.3,1.2,1.2,1.2
22,India,5.25,5.5,5.75,5.75,5.75,5.75,5.25
23,Indonesia,6.0,6.0,5.5,5.5,5.25,5.25,5.0
24,Korea,3.0,3.25,3.5,3.5,3.5,3.5,3.5
25,Philippines,5.0,5.25,5.25,5.25,5.0,5.0,4.5
26,Taiwan,2.13,2.13,2.13,2.13,2.13,2.13,2.13
